age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
29.0;admin.;single;university.degree;no;no;no;telephone;apr;fri;48;2;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no
36.0;admin.;married;university.degree;no;no;no;cellular;aug;thu;126;2;999;0;nonexistent;-2.9;92.20100000000001;-31.4;0.873;5076.2;no
27.0;admin.;married;university.degree;no;no;yes;cellular;jul;fri;979;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;yes
43.0;blue-collar;married;high.school;no;no;no;cellular;apr;fri;997;1;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1;yes
26.0;technician;single;professional.course;no;unknown;unknown;cellular;jul;wed;578;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.957;5228.1;yes
43.0;blue-collar;married;basic.4y;unknown;yes;no;cellular;may;wed;147;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.334;5099.1;no
64.0;housemaid;married;basic.4y;no;no;no;cellular;dec;thu;232;1;999;0;nonexistent;-3.0;92.713;-33.0;0.7140000000000001;5023.5;yes
73.0;retired;married;university.degree;no;yes;no;cellular;mar;fri;179;1;999;0;nonexistent;-1.8;92.84299999999999;-50.0;1.531;5099.1;yes
32.0;unemployed;divorced;high.school;no;no;no;cellular;nov;wed;194;1;999;0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8;no
56.0;admin.;divorced;university.degree;no;no;no;cellular;jul;tue;213;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;no
63.0;retired;married;high.school;no;yes;no;cellular;oct;wed;96;1;999;0;nonexistent;-3.4;92.431;-26.9;0.7240000000000001;5017.5;yes
37.0;technician;divorced;professional.course;unknown;yes;no;cellular;jul;mon;1134;5;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;yes
42.0;admin.;married;university.degree;no;yes;no;cellular;nov;thu;419;3;999;1;failure;-1.1;94.76700000000001;-50.8;1.041;4963.6;no
52.0;services;married;high.school;unknown;yes;no;cellular;jul;fri;946;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;yes
20.0;student;single;basic.4y;no;yes;yes;cellular;apr;tue;240;1;999;1;failure;-1.8;93.749;-34.6;0.644;5008.7;yes
47.0;admin.;divorced;university.degree;no;yes;no;telephone;may;tue;160;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
45.0;technician;married;professional.course;unknown;no;no;telephone;may;wed;69;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;no
28.0;services;married;high.school;unknown;yes;no;telephone;may;wed;322;2;999;0;nonexistent;1.1;93.994;-36.4;4.8580000000000005;5191.0;no
57.0;retired;single;high.school;no;no;no;telephone;may;mon;166;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no
42.0;blue-collar;married;basic.4y;unknown;no;no;cellular;may;fri;306;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;no
29.0;admin.;married;university.degree;no;no;no;cellular;jul;thu;37;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no
38.0;services;married;basic.9y;no;no;no;telephone;jun;fri;31;1;999;0;nonexistent;1.4;94.465;-41.8;4.967;5228.1;no
28.0;admin.;single;university.degree;no;yes;no;cellular;jun;fri;232;1;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2;yes
54.0;technician;married;professional.course;no;yes;no;cellular;apr;wed;138;2;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;yes
33.0;admin.;single;university.degree;no;yes;no;telephone;apr;wed;220;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no
56.0;services;divorced;high.school;unknown;no;no;telephone;may;thu;311;5;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191.0;no
37.0;admin.;married;university.degree;no;no;no;cellular;nov;mon;282;2;6;1;success;-1.1;94.76700000000001;-50.8;1.05;4963.6;yes
34.0;admin.;single;high.school;no;yes;yes;cellular;apr;tue;2299;2;999;0;nonexistent;-1.8;93.075;-47.1;1.453;5099.1;yes
59.0;admin.;divorced;basic.4y;no;yes;no;cellular;may;wed;193;1;999;0;nonexistent;-1.8;93.876;-40.0;0.682;5008.7;yes
28.0;admin.;single;university.degree;no;yes;no;cellular;jul;fri;67;2;999;0;nonexistent;-2.9;92.469;-33.6;1.0590000000000002;5076.2;no
32.0;unknown;single;professional.course;no;no;no;cellular;jul;thu;2029;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;yes
36.0;management;married;university.degree;no;yes;no;cellular;may;thu;128;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.266;5099.1;no
29.0;blue-collar;married;unknown;no;no;no;cellular;jul;mon;251;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;no
